delivery_id,match_id,innings,over,ball,batter_id,bowler_id,non_striker_id,runs_off_bat,extras,wicket_type,dismissed_batter_id
1,1,1,0,1,110,447,97,4,0,,
2,1,1,0,2,97,447,110,1,0,,
3,1,1,0,3,97,447,110,0,0,,
4,1,1,0,4,110,447,97,3,0,,
5,1,1,0,5,110,447,97,4,0,,
6,1,1,0,6,110,447,97,0,0,,
7,1,1,1,1,110,447,97,0,0,,
8,1,1,1,2,110,447,97,0,0,,
9,1,1,1,3,110,447,97,0,0,,
10,1,1,1,4,110,447,97,0,0,,
11,1,1,1,5,110,447,97,4,0,,
12,1,1,1,6,110,447,97,0,0,,
13,1,1,2,1,97,447,110,1,0,,
14,1,1,2,2,97,447,110,0,0,,
15,1,1,2,3,97,447,110,0,1,,
16,1,1,2,4,110,447,97,1,0,,
17,1,1,2,5,97,447,110,1,0,,
18,1,1,2,6,97,447,110,0,0,,
19,1,1,3,1,97,447,110,0,0,,
20,1,1,3,2,97,447,110,0,0,,
21,1,1,3,3,97,447,110,0,0,,
22,1,1,3,4,110,447,97,1,0,,
23,1,1,3,5,97,447,110,1,0,,
24,1,1,3,6,97,447,110,0,0,,
25,1,1,4,1,97,447,110,0,0,,
26,1,1,4,2,97,447,110,0,0,,
27,1,1,4,3,97,447,110,0,0,,
28,1,1,4,4,97,447,110,0,0,,
29,1,1,4,5,97,447,110,0,0,,
30,1,1,4,6,97,447,110,0,0,,
31,1,1,5,1,97,447,110,0,0,,
32,1,1,5,2,110,447,97,1,0,,
33,1,1,5,3,97,447,110,1,0,,
34,1,1,5,4,110,447,97,1,1,,
35,1,1,5,5,110,447,97,0,0,,
36,1,1,5,6,110,447,97,0,1,,
37,1,1,6,1,110,437,97,0,0,,
38,1,1,6,2,97,437,110,1,0,,
39,1,1,6,3,97,437,110,0,0,,
40,1,1,6,4,97,437,110,6,1,,
41,1,1,6,5,110,437,100,1,0,lbw,97
42,1,1,6,6,100,437,110,5,0,,
43,1,1,7,1,100,437,110,0,2,,
44,1,1,7,2,100,437,110,0,0,,
45,1,1,7,3,110,437,100,1,0,,
46,1,1,7,4,100,437,110,1,0,,
47,1,1,7,5,110,437,100,1,0,,
48,1,1,7,6,100,437,110,1,0,,
49,1,1,8,1,100,437,110,2,0,,
50,1,1,8,2,100,437,110,2,1,,
51,1,1,8,3,100,437,110,2,0,,
52,1,1,8,4,100,437,110,0,1,,
53,1,1,8,5,100,437,110,4,0,,
54,1,1,8,6,110,437,100,1,0,,
55,1,1,9,1,110,437,100,2,0,,
56,1,1,9,2,110,437,100,0,0,,
57,1,1,9,3,110,437,100,4,0,,
58,1,1,9,4,110,437,100,0,1,,
59,1,1,9,5,110,437,100,0,0,,
60,1,1,9,6,110,437,100,0,0,,
61,1,1,10,1,110,437,100,4,0,,
62,1,1,10,2,110,437,100,4,0,,
63,1,1,10,3,110,437,100,0,0,,
64,1,1,10,4,110,437,100,0,0,,
65,1,1,10,5,110,437,100,0,0,,
66,1,1,10,6,110,437,100,0,0,,
67,1,1,11,1,110,437,100,0,0,,
68,1,1,11,2,110,437,100,0,0,,
69,1,1,11,3,110,437,100,0,0,,
70,1,1,11,4,110,437,100,4,0,,
71,1,1,11,5,110,437,100,2,0,,
72,1,1,11,6,110,437,100,0,0,,
73,1,1,12,1,110,442,100,0,0,,
74,1,1,12,2,110,442,100,0,0,,
75,1,1,12,3,110,442,100,0,0,,
76,1,1,12,4,110,442,100,0,0,,
77,1,1,12,5,110,442,100,0,2,,
78,1,1,12,6,110,442,100,0,0,,
79,1,1,13,1,100,442,110,1,0,,
80,1,1,13,2,110,442,100,1,2,,
81,1,1,13,3,110,442,100,0,0,,
82,1,1,13,4,110,442,100,2,0,,
83,1,1,13,5,103,442,100,2,0,stumped,110
84,1,1,13,6,100,442,103,3,0,,
85,1,1,14,1,100,442,103,0,0,,
86,1,1,14,2,103,442,100,3,0,,
87,1,1,14,3,97,442,100,0,0,caught,103
88,1,1,14,4,97,442,100,0,0,,
89,1,1,14,5,102,442,100,4,0,hit wicket,97
90,1,1,14,6,104,442,100,0,0,hit wicket,102
91,1,1,15,1,104,442,100,0,0,,
92,1,1,15,2,104,442,100,0,0,,
93,1,1,15,3,104,442,100,0,0,,
94,1,1,15,4,104,442,100,0,0,,
95,1,1,15,5,104,442,100,0,0,,
96,1,1,15,6,104,442,100,6,0,,
97,1,1,16,1,104,442,100,0,0,,
98,1,1,16,2,104,442,100,0,0,,
99,1,1,16,3,104,442,100,0,0,,
100,1,1,16,4,104,442,100,4,0,,
101,1,1,16,5,100,442,104,1,0,,
102,1,1,16,6,104,442,100,1,0,,
103,1,1,17,1,104,442,100,2,0,,
104,1,1,17,2,100,442,101,1,0,bowled,104
105,1,1,17,3,100,442,101,2,0,,
106,1,1,17,4,101,442,100,1,0,,
107,1,1,17,5,100,442,101,5,0,,
108,1,1,17,6,101,442,100,1,0,,
109,1,1,18,1,100,445,101,1,0,,
110,1,1,18,2,100,445,101,0,0,,
111,1,1,18,3,100,445,101,0,0,,
112,1,1,18,4,100,445,101,0,0,,
113,1,1,18,5,100,445,101,6,0,,
114,1,1,18,6,100,445,101,0,0,,
115,1,1,19,1,100,445,101,6,0,,
116,1,1,19,2,100,445,101,6,0,,
117,1,1,19,3,101,445,100,1,0,,
118,1,1,19,4,101,445,100,0,0,,
119,1,1,19,5,101,445,100,0,0,,
120,1,1,19,6,101,445,100,6,0,,
121,1,2,0,1,433,108,448,1,0,,
122,1,2,0,2,448,108,433,1,0,,
123,1,2,0,3,448,108,433,0,2,,
124,1,2,0,4,448,108,433,0,0,,
125,1,2,0,5,448,108,433,0,2,,
126,1,2,0,6,448,108,433,0,0,,
127,1,2,1,1,448,108,433,4,0,,
128,1,2,1,2,448,108,433,0,1,,
129,1,2,1,3,448,108,433,4,0,,
130,1,2,1,4,448,108,433,0,0,,
131,1,2,1,5,448,108,433,2,0,,
132,1,2,1,6,448,108,433,4,0,,
133,1,2,2,1,433,108,448,1,0,,
134,1,2,2,2,433,108,448,0,0,,
135,1,2,2,3,433,108,448,0,1,,
136,1,2,2,4,448,108,433,1,0,,
137,1,2,2,5,448,108,433,4,0,,
138,1,2,2,6,448,108,433,0,0,,
139,1,2,3,1,433,108,448,1,0,,
140,1,2,3,2,433,108,448,0,0,,
141,1,2,3,3,448,108,433,1,0,,
142,1,2,3,4,448,108,433,0,0,,
143,1,2,3,5,448,108,433,0,0,,
144,1,2,3,6,448,108,433,0,0,,
145,1,2,4,1,433,108,448,1,0,,
146,1,2,4,2,433,108,448,2,0,,
147,1,2,4,3,433,108,448,0,0,,
148,1,2,4,4,433,108,448,0,0,,
149,1,2,4,5,433,108,448,0,0,,
150,1,2,4,6,433,108,448,0,0,,
151,1,2,5,1,433,108,448,4,0,,
152,1,2,5,2,448,108,433,1,0,,
153,1,2,5,3,448,108,433,0,0,,
154,1,2,5,4,448,108,433,0,0,,
155,1,2,5,5,448,108,433,0,1,,
156,1,2,5,6,448,108,433,0,0,,
157,1,2,6,1,448,106,433,4,0,,
158,1,2,6,2,448,106,433,0,0,,
159,1,2,6,3,448,106,433,0,0,,
160,1,2,6,4,448,106,433,0,0,,
161,1,2,6,5,448,106,433,0,0,,
162,1,2,6,6,448,106,433,0,0,,
163,1,2,7,1,433,106,448,1,0,,
164,1,2,7,2,433,106,448,0,0,,
165,1,2,7,3,448,106,433,1,0,,
166,1,2,7,4,433,106,436,1,0,bowled,448
167,1,2,7,5,433,106,436,2,0,,
168,1,2,7,6,433,106,436,0,0,,
169,1,2,8,1,433,106,436,4,0,,
170,1,2,8,2,436,106,433,1,0,,
171,1,2,8,3,436,106,433,0,0,,
172,1,2,8,4,433,106,445,1,0,lbw,436
173,1,2,8,5,433,106,445,0,0,,
174,1,2,8,6,433,106,445,4,0,,
175,1,2,9,1,445,106,433,1,0,,
176,1,2,9,2,445,106,433,6,0,,
177,1,2,9,3,445,106,433,0,0,,
178,1,2,9,4,445,106,433,2,0,,
179,1,2,9,5,445,106,433,4,0,,
180,1,2,9,6,433,106,445,1,0,,
181,1,2,10,1,433,106,445,0,0,,
182,1,2,10,2,433,106,445,0,0,,
183,1,2,10,3,433,106,445,4,0,,
184,1,2,10,4,433,106,445,0,0,,
185,1,2,10,5,433,106,445,0,0,,
186,1,2,10,6,433,106,445,0,0,,
187,1,2,11,1,445,106,433,1,0,,
188,1,2,11,2,433,106,445,3,0,,
189,1,2,11,3,433,106,445,6,0,,
190,1,2,11,4,433,106,445,4,2,,
191,1,2,11,5,445,106,433,1,0,,
192,1,2,11,6,445,106,433,0,0,,
193,1,2,12,1,445,107,433,2,0,,
194,1,2,12,2,445,107,433,0,2,,
195,1,2,12,3,433,107,445,5,0,,
196,1,2,12,4,433,107,445,0,0,,
197,1,2,12,5,433,107,445,0,0,,
198,1,2,12,6,433,107,445,0,0,,
199,1,2,13,1,445,107,433,1,0,,
200,1,2,13,2,433,107,445,1,0,,
201,1,2,13,3,445,107,433,1,0,,
202,1,2,13,4,445,107,433,0,0,,
203,1,2,13,5,445,107,433,2,0,,
204,1,2,13,6,445,107,433,4,0,,
205,1,2,14,1,445,107,433,4,0,,
206,1,2,14,2,445,107,433,6,0,,
207,1,2,14,3,445,107,433,4,0,,
208,1,2,14,4,433,107,445,1,0,,
209,1,2,14,5,433,107,445,4,0,,
210,1,2,14,6,433,107,445,0,1,,
211,1,2,15,1,433,107,445,0,0,,
212,1,2,15,2,433,107,445,6,1,,
213,1,2,15,3,433,107,445,0,0,,
214,1,2,15,4,433,107,445,6,0,,
215,1,2,15,5,445,107,433,1,0,,
216,1,2,15,6,445,107,433,4,0,,
217,1,2,16,1,445,107,433,0,0,,
218,1,2,16,2,445,107,433,0,0,,
219,1,2,16,3,445,107,433,2,0,,
220,1,2,16,4,445,107,433,0,0,,
221,1,2,16,5,445,107,433,4,0,,
222,1,2,16,6,433,107,445,1,0,,
223,1,2,17,1,433,107,445,0,0,,
224,1,2,17,2,433,107,445,0,0,,
225,1,2,17,3,439,107,445,0,0,hit wicket,433
226,1,2,17,4,445,107,439,1,0,,
227,1,2,17,5,445,107,439,0,0,,
228,1,2,17,6,445,107,439,4,0,,
229,1,2,18,1,445,108,439,0,1,,
230,1,2,18,2,445,108,439,0,1,,
231,1,2,18,3,445,108,439,0,2,,
232,1,2,18,4,439,108,445,1,1,,
233,1,2,18,5,445,108,439,3,0,,
234,1,2,18,6,439,108,445,1,0,,
235,1,2,19,1,439,108,445,0,0,,
236,1,2,19,2,439,108,445,4,0,,
237,1,2,19,3,439,108,445,4,0,,
238,1,2,19,4,439,108,445,0,0,,
239,1,2,19,5,445,108,439,1,0,,
240,1,2,19,6,445,108,439,4,0,,
241,2,1,0,1,277,142,282,0,0,,
242,2,1,0,2,282,142,277,3,0,,
243,2,1,0,3,282,142,277,4,0,,
244,2,1,0,4,282,142,277,0,0,,
245,2,1,0,5,282,142,277,6,1,,
246,2,1,0,6,282,142,277,4,0,,
247,2,1,1,1,282,142,277,2,0,,
248,2,1,1,2,277,142,282,1,0,,
249,2,1,1,3,277,142,282,0,0,,
250,2,1,1,4,277,142,282,0,0,,
251,2,1,1,5,282,142,277,1,0,,
252,2,1,1,6,282,142,277,0,0,,
253,2,1,2,1,278,142,277,2,0,bowled,282
254,2,1,2,2,278,142,277,0,0,,
255,2,1,2,3,278,142,277,0,0,,
256,2,1,2,4,278,142,277,0,0,,
257,2,1,2,5,278,142,277,2,0,,
258,2,1,2,6,277,142,278,1,1,,
