player_id,full_name,team,role,country,date_of_birth
100,Virat Kohli,India,Batter,India,1988-11-05
101,Steve Smith,Australia,Batter,Australia,1989-06-02
102,Joe Root,England,Batter,England,1990-12-30
103,Trent Boult,New Zealand,Bowler,New Zealand,1989-07-22
104,Babar Azam,Pakistan,Batter,Pakistan,1994-10-15
105,Quinton de Kock,South Africa,Wicketkeeper,South Africa,1992-12-17
106,David Warner,Australia,Batter,Australia,1986-10-27
107,Kusal Mendis,Sri Lanka,Batter,Sri Lanka,1995-02-02
108,Shai Hope,West Indies,Batter,West Indies,1993-11-10
109,Mushfiqur Rahim,Bangladesh,Wicketkeeper,Bangladesh,1987-05-09
110,Rohit Sharma,India,Batter,India,1987-04-30
111,Pat Cummins,Australia,Bowler,Australia,1993-05-08
112,Mitchell Starc,Australia,Bowler,Australia,1990-01-30
113,Jasprit Bumrah,India,Bowler,India,1993-12-06
114,Shakib Al Hasan,Bangladesh,Allrounder,Bangladesh,1987-03-24
115,Kyle Mayers,West Indies,Allrounder,West Indies,1992-11-25
